row,good_match,perfect_match
1,1,0
2,1,0
3,0,0
4,1,1
5,1,0
6,0,0
7,1,1
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,1
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,1
24,1,0
25,1,0
26,1,1
27,1,0
28,1,0
29,1,0
30,1,1
31,1,0
32,1,0
33,1,0
34,0,0
35,1,0
36,1,0
37,1,0
38,1,1
39,1,1
40,1,0
41,0,0
42,0,0
43,0,0
44,0,0
45,1,0
46,0,0
47,1,0
48,1,0
49,0,0
50,0,0
51,1,1
52,0,0
53,0,0
54,0,0
55,1,0
56,1,0
57,0,0
58,1,0
59,0,0
60,1,1
61,0,0
62,1,1
63,1,0
64,1,0
65,1,0
66,1,0
67,1,1
68,1,0
69,1,1
70,0,0
71,1,1
72,1,0
73,1,1
74,1,1
75,1,1
76,1,0
77,0,0
78,1,0
79,0,0
80,1,1
81,1,0
82,1,1
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,1
89,0,0
90,1,0
91,1,1
92,0,0
93,1,1
94,1,1
95,1,1
96,1,0
97,1,0
98,1,0
99,1,1
100,1,0
101,1,1
102,1,0
103,1,1
104,0,0
105,1,1
106,1,1
107,1,1
108,1,0
109,0,0
110,1,0
111,1,0
112,1,1
113,0,0
114,1,1
115,1,1
116,1,1
117,0,0
118,0,0
119,0,0
120,1,1
121,0,0
122,1,1
123,1,1
124,1,0
125,0,0
126,1,1
127,0,0
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,0,0
134,1,1
135,0,0
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,0
146,1,1
147,1,1
148,1,1
149,1,1
150,1,0
