row,good_match,perfect_match
1,0,0
2,1,0
3,1,0
4,1,1
5,1,0
6,0,0
7,1,1
8,1,0
9,0,0
10,1,1
11,1,0
12,1,0
13,1,0
14,1,0
15,1,1
16,1,1
17,1,1
18,1,1
19,1,0
20,1,0
21,1,0
22,0,0
23,1,1
24,1,0
25,1,0
26,1,1
27,1,0
28,1,1
29,1,0
30,1,1
31,1,1
32,1,1
33,1,1
34,0,0
35,1,0
36,1,0
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,0
46,1,1
47,1,0
48,1,1
49,1,0
50,1,1
51,1,1
52,1,1
53,0,0
54,0,0
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,0
64,1,1
65,1,0
66,1,0
67,1,0
68,1,1
69,1,1
70,1,0
71,1,1
72,1,0
73,1,0
74,1,0
75,1,1
76,0,0
77,1,0
78,0,0
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,0,0
87,0,0
88,1,1
89,0,0
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,0
97,1,0
98,1,1
99,1,1
100,1,0
101,0,0
102,0,0
103,1,1
104,1,0
105,1,1
106,1,0
107,1,0
108,1,0
109,1,0
110,1,0
111,1,0
112,1,1
113,1,0
114,1,0
115,1,0
116,1,1
117,1,1
118,1,0
119,1,0
120,1,0
121,0,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,0
129,1,0
130,1,1
131,0,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,0
140,0,0
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
